Channel:9X M
Date:20150923
0000-0100|Teleshopping|A show for those who love to shop from the comforts of their home.||||||
0100-0200|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
0200-0300|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
0300-0400|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
0400-0500|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
0500-0600|Morning Alarm|Wake up to the best Bollywood music.||||||
0600-0616|Morning Alarm|Wake up to the best Bollywood music.||||||
0616-0620|Screen Flash|Latest Trailors||||||
0620-0645|Morning Alarm|Wake up to the best Bollywood music.||||||
0645-0650|Screen Flash|Latest Trailors||||||
0650-0700|Morning Alarm|Wake up to the best Bollywood music.||||||
0700-0716|Morning Alarm|Wake up to the best Bollywood music.||||||
0716-0720|Screen Flash|Latest Trailors||||||
0720-0745|Morning Alarm|Wake up to the best Bollywood music.||||||
0745-0750|Screen Flash|Latest Trailors||||||
0750-0800|Morning Alarm|Wake up to the best Bollywood music.||||||
0800-0816|Fit Hits|100percent Ad Free Music||||||
0816-0820|Screen Flash|Latest Trailors||||||
0820-0830|Fit Hits|100percent Ad Free Music||||||
0830-0835|Fit Hits|100percent Ad Free Music||||||
0835-0840|Screen Flash|Latest Trailors||||||
0840-0910|Fit Hits|100percent Ad Free Music||||||
0910-0912|Screen Flash|Latest Trailors||||||
0912-0950|Fit Hits|100percent Ad Free Music||||||
0950-0952|Screen Flash|Latest Trailors||||||
0952-1030|Fit Hits|100percent Ad Free Music||||||
1030-1035|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
1035-1116|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
1116-1120|Screen Flash|Latest Trailors||||||
1120-1145|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
1145-1150|Screen Flash|Latest Trailors||||||
1150-1200|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
1200-1216|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
1216-1220|Screen Flash|Latest Trailors||||||
1220-1245|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
1245-1250|Screen Flash|Latest Trailors||||||
1250-1300|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
1300-1400|9XM Top 9|Viewers choice - music countdown.||||||
1400-1416|Calm-A-Sutra|Easy Listening Playlist||||||
1416-1420|Screen Flash|Latest Trailors||||||
1420-1445|Calm-A-Sutra|Easy Listening Playlist||||||
1445-1450|Screen Flash|Latest Trailors||||||
1450-1500|Calm-A-Sutra|Easy Listening Playlist||||||
1500-1516|Calm-A-Sutra|Easy Listening Playlist||||||
1516-1520|Screen Flash|Latest Trailors||||||
1520-1545|Calm-A-Sutra|Easy Listening Playlist||||||
1545-1550|Screen Flash|Latest Trailors||||||
1550-1600|Calm-A-Sutra|Easy Listening Playlist||||||
1600-1616|M-Slot|BollywoodS Latest Hits||||||
1616-1620|Screen Flash|Latest Trailors||||||
1620-1645|M-Slot|BollywoodS Latest Hits||||||
1645-1650|Screen Flash|Latest Trailors||||||
1650-1700|M-Slot|BollywoodS Latest Hits||||||
1700-1716|M-Slot|BollywoodS Latest Hits||||||
1716-1730|M-Slot|BollywoodS Latest Hits||||||
1730-1810|Breakless Band|Non-stop super hit Bollywood songs.||||||
1810-1812|Screen Flash|Latest Trailors||||||
1812-1850|Breakless Band|Non-stop super hit Bollywood songs.||||||
1850-1852|Screen Flash|Latest Trailors||||||
1852-1900|Breakless Band|Non-stop super hit Bollywood songs.||||||
1900-1930|9XE.COM- The Show|ENTERTAINMENT SHOW FEATURING THE HOTTEST BUZZ SCOOPS and FUN CELEB INTERVIEWS||||||
1930-1945|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
1945-1950|Screen Flash|Latest Trailors||||||
1950-2000|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2000-2100|9XM Top 9|Viewers choice - music countdown.||||||
2100-2116|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2116-2120|Screen Flash|Latest Trailors||||||
2120-2145|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2145-2150|Screen Flash|Latest Trailors||||||
2150-2200|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2200-2216|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2216-2220|Screen Flash|Latest Trailors||||||
2220-2245|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2245-2250|Screen Flash|Latest Trailors||||||
2250-2300|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2300-2316|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2316-2320|Screen Flash|Latest Trailors||||||
2320-2345|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
2345-2350|Screen Flash|Latest Trailors||||||
2350-0000|Bade-Chotes Playlist|The Hottest Bollywood Hits||||||
